NAME nsam scaffold Gene Start End Length ThetaRFuLi_1 ThetaRFuLi_2 ThetaRFuLi_3 ThetaRFuLi_4 ThetaRFuLi_5 ThetaRFuLi_6 ThetaRFuLi_7 ThetaRFuLi_8 ThetaRFuLi_9 ThetaRFuLi_10 ThetaRFuLi_11 ThetaRFuLi_12 ThetaRFuLi_13 ThetaRFuLi_14 ThetaRFuLi_15 ThetaRFuLi_16 ThetaRFuLi_17 ThetaRFuLi_18 ThetaRFuLi_19 ThetaRFuLi_20 ThetaRFuLi_21 ThetaRFuLi_22 ThetaRFuLi_23 ThetaRFuLi_24 ThetaRFuLi_25 ThetaRFuLi_26 ThetaRFuLi_27 ThetaRFuLi_28 ThetaRFuLi_29 ThetaRFuLi_30 ThetaRFuLi_31 ThetaRFuLi_32 ThetaRFuLi_33 ThetaRFuLi_34 ThetaRFuLi_35 ThetaRFuLi_36 ThetaRFuLi_37 ThetaRFuLi_38 ThetaRFuLi_39 ThetaRFuLi_40 ThetaRFuLi_41 ThetaRFuLi_42 ThetaRFuLi_43 ThetaRFuLi_44 ThetaRFuLi_45 ThetaRFuLi_46 ThetaRFuLi_47 ThetaRFuLi_48 ThetaRFuLi_49 ThetaRFuLi_50 ThetaRFuLi_51 ThetaRFuLi_52 ThetaRFuLi_53 ThetaRFuLi_54 ThetaRFuLi_55 ThetaRFuLi_56 ThetaRFuLi_57 ThetaRFuLi_58 ThetaRFuLi_59 ThetaRFuLi_60 ThetaRFuLi_61 ThetaRFuLi_62 ThetaRFuLi_63 ThetaRFuLi_64 ThetaRFuLi_65 ThetaRFuLi_66 ThetaRFuLi_67 ThetaRFuLi_68 ThetaRFuLi_69 ThetaRFuLi_70 ThetaRFuLi_71 ThetaRFuLi_72 ThetaRFuLi_73 ThetaRFuLi_74 ThetaRFuLi_75 ThetaRFuLi_76 ThetaRFuLi_77 ThetaRFuLi_78 ThetaRFuLi_79 ThetaRFuLi_80 ThetaRFuLi_81 ThetaRFuLi_82 ThetaRFuLi_83 ThetaRFuLi_84 ThetaRFuLi_85 ThetaRFuLi_86 ThetaRFuLi_87 ThetaRFuLi_88 ThetaRFuLi_89 ThetaRFuLi_90 ThetaRFuLi_91 ThetaRFuLi_92 ThetaRFuLi_93 ThetaRFuLi_94 ThetaRFuLi_95 ThetaRFuLi_96 ThetaRFuLi_97 ThetaRFuLi_98 ThetaRFuLi_99 ThetaRFuLi_100
MICROBIOTE_BILEACID_genes 200 18 GBX1 6058888 6080908 22021 0 0 0.01356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00452 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00452 0
MICROBIOTE_BILEACID_genes 200 18 GIMAP2 6395809 6401076 5268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 PRSS58 7715969 7725465 9497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 MGAM2 7767831 7863717 95887 0 0 0.00311 0 0 0 0 0 0 0 0 0 0 0 0.00104 0 0 0 0 0 0 0 0 0.00104 0 0 0 0 0 0 0 0 0 0 0 0.00208 0 0 0 0 0 0 0 0 0 0 0 0 0.00104 0 0.00311 0.00104 0 0 0.00104 0.00726 0 0 0 0 0 0 0 0 0.00104 0.00311 0 0 0 0 0 0 0 0 0 0.00104 0 0.00104 0.00104 0.00208 0 0 0.00104 0 0 0 0 0 0 0 0 0 0 0 0.00104 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 SSBP1 8084292 8167983 83692 0 0 0.00238 0 0 0 0 0 0.00119 0 0.00119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119 0 0 0 0.00119 0 0 0 0 0 0 0 0 0.00119 0 0 0 0 0 0 0 0.00119 0 0 0 0.00119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119 0 0 0 0 0.00238
MICROBIOTE_BILEACID_genes 200 18 WEE2 8171133 8196836 25704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 AGK 8263761 8369060 105300 0 0.00094 0.00378 0.00094 0 0.00094 0 0 0 0 0 0.00094 0 0 0 0 0 0 0 0 0.00094 0.00094 0 0.00094 0 0 0 0 0.00094 0.00094 0 0 0.00094 0.00094 0 0 0 0.00094 0 0 0 0 0 0 0 0 0 0.00189 0 0 0 0 0 0.00094 0.00094 0 0 0 0 0.00094 0.00094 0 0.00094 0.00094 0.00094 0 0 0 0.00094 0 0.00094 0 0 0 0.00094 0.00094 0 0 0 0 0.00094 0 0 0 0.00094 0.00094 0.00189 0 0.00094 0 0 0 0.00094 0 0 0.00189 0 0 0 0.00094
MICROBIOTE_BILEACID_genes 200 18 TTC26 10462670 10509595 46926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00212
MICROBIOTE_BILEACID_genes 200 18 KIAA1549 10676845 10829487 152643 0.00261 0 0.0013 0 0 0 0 0.00065 0.0013 0.00065 0 0.00065 0 0 0 0 0 0 0 0 0 0 0 0.00065 0.0013 0 0.00065 0 0 0.0013 0 0 0.00065 0.0013 0 0.0013 0 0 0 0.00065 0.0013 0 0 0 0.00196 0.0013 0.00065 0 0.0013 0 0.00065 0 0 0.00065 0 0.00196 0 0 0 0 0 0.0013 0 0.00065 0.0013 0 0.00065 0.00065 0 0 0 0 0 0.00065 0.00065 0.0013 0 0 0 0.00261 0 0.0013 0 0.00261 0 0 0 0 0.00065 0 0 0 0 0 0.00065 0 0.00065 0.00065 0.00065 0.00065
MICROBIOTE_BILEACID_genes 200 18 CREB3L2 11533184 11666132 132949 0 0 0 0 0.0015 0 0 0 0.00299 0 0 0 0 0 0.00449 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0015 0 0 0 0 0 0 0 0 0 0 0 0.00075 0 0 0.00075 0 0 0 0.00075 0 0 0 0 0 0.00075 0.00075 0 0.00075 0 0 0 0 0 0 0 0.00075 0 0 0.00075 0 0.00075 0 0 0.00075 0 0 0 0 0 0 0 0 0 0.00075 0 0 0 0 0.0015 0 0 0 0 0.00075 0 0 0.00075 0.00075
MICROBIOTE_BILEACID_genes 200 18 DGKI 11705055 12187098 482044 0.00021 0.00041 0 0 0.00041 0 0 0.00021 0.00041 0 0 0.00041 0 0 0.00021 0 0 0.00041 0 0.00021 0.00021 0.00041 0.00041 0 0.00041 0 0.00021 0.00062 0 0.00041 0.00062 0 0.00041 0.00021 0.00021 0.00041 0.00041 0.00021 0.00041 0.00021 0.00021 0 0.00041 0.00083 0.00021 0 0 0.00041 0 0 0.00062 0.00021 0.00021 0 0.00083 0.00021 0.00021 0.00041 0.00103 0 0.00021 0 0.00021 0.00041 0.00021 0.00041 0.00021 0.00021 0 0.00021 0.00041 0 0.00021 0 0.00021 0 0.00062 0 0 0.00041 0 0.00021 0.00021 0.00062 0.00021 0 0.00041 0 0 0.00021 0 0 0.00041 0.00041 0 0.00041 0.00021 0.00021 0.00021 0.00062
MICROBIOTE_BILEACID_genes 200 18 CHRM2 12455139 12600314 145176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00069 0.00206 0 0.0048 0 0 0 0.00069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00069 0 0 0.00069 0.00069 0 0 0 0 0 0 0 0.00069 0 0 0 0 0 0.00137 0 0 0 0 0.00137 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 LRGUK 14957257 15074978 117722 0 0 0 0 0.00085 0 0 0 0 0.00085 0 0 0 0 0 0 0 0.00085 0 0 0 0 0 0.00169 0 0.00085 0 0 0.00169 0.00085 0.00085 0 0 0 0 0 0 0 0 0.00085 0.00085 0 0 0 0 0 0 0.00085 0 0 0 0 0 0 0 0 0.00169 0 0 0.00085 0 0 0.00085 0 0 0.00085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 EXOC4 15105152 15906734 801583 0.00012 0 0 0.00037 5e-04 0 0.00025 0 0.00037 0.00124 0 0 5e-04 0.00037 0 0 0 0 0.00012 0.00025 0 0.00025 0.00012 5e-04 0 0.00025 0 0.00025 0 0.00025 0.00025 0 0.00037 5e-04 0 5e-04 0 0.00012 0.00012 0 0.00012 0 0.00025 0 0.00012 5e-04 0 0 0.00012 0 0.00012 0.00025 0 0.00025 5e-04 0 0.00062 0.00012 0 0.00012 0.00025 0.00012 0.00025 5e-04 0.00074 0 0.00025 0 0.00037 0 0.00025 0.00037 0 0.00025 0.00012 0 0.00025 0 0.00012 0.00012 0.00099 0.00012 0.00012 0.00025 0 0 0.00037 0.00025 0.00012 0 5e-04 0.00012 0.00012 0 0.00025 0.00025 0 0.00012 0 0.00012
MICROBIOTE_BILEACID_genes 200 18 KLF14 18147124 18149177 2054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 FLNC 19759734 19787616 27883 0 0 0 0 0 0 0 0.00357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00357 0 0 0 0 0.00357 0 0 0 0.00357 0 0.01071 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 CALU 19841718 19875804 34087 0.00292 0 0 0.00292 0 0 0.01751 0.00292 0 0 0 0 0 0 0 0 0.00292 0 0 0.00292 0 0 0 0 0 0 0 0 0 0 0 0 0.00292 0 0 0 0 0 0 0 0 0 0.00292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00584 0 0 0 0 0 0 0 0 0 0 0.00584 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 FAM71F2 19919703 19945287 25585 0 0 0 0 0 0 0 0 0 0 0.00389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00389 0 0 0.00389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00389 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 SND1 20261473 20653621 392149 0.00025 0.00101 0.00025 0.00025 0 0.00051 0 0 0.00127 0.00025 0 0.00025 0 0 0.00025 0.00152 0.00051 0 0 0.00025 0.00025 0.00025 0 0 0 0 0 0.00051 0 0 0.00025 0 0 0 0.00076 0 0.1261 0 0.00025 0 0 0 0 0 0.00025 0 0 0 0 0 0.00025 0 0 0 0 0.00025 0.00025 0.00076 0 0 0 0 0 0 0.00101 0.00025 0 0 0 0.00025 0.00025 0.00076 0 0 0 0.00025 0 0 0 0 0.00025 0 0 0 0 0 0 0 0 0.00025 0 0.00025 0.00025 0 0.00051 0 0 0 0.00025 0.00051
MICROBIOTE_BILEACID_genes 200 18 GRM8 20945049 21756952 811904 0.00025 0.00049 0 0 0.00012 0 0 0.00012 0 0.00012 0 0.00061 0.00012 0 0 0.00012 0 0 0.00025 0 0 0 0 0.00012 0 0 0.00012 0.00012 0.00025 0 0.00012 0.0011 0.00025 0.00012 0.00025 0.00012 0.06912 0.00025 0 0 0 0.00012 0.00012 0.00012 0 0.00012 0 0.00037 0.00012 0.00012 0 0.00025 0 0.00037 0.00012 0.00012 0 0.00012 0.00061 0.00037 0.00037 0 0.00012 0.00012 0.00074 0.00012 0.00037 0.00025 0.00025 0 0 0.00037 0.00025 0.00025 0.00012 0.00098 0.00025 0.00061 0 0.00061 0.00025 0.00025 0.00025 0.00061 0.00037 0.00012 0.00049 0 0.00037 0 0.00025 0.00049 0 0.00012 0.00012 0.00025 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 CADPS2 24372547 24867287 494741 0 6e-04 6e-04 0 0 0 0.00101 8e-04 4e-04 0 0 2e-04 0 0 2e-04 6e-04 2e-04 0 0 0 0 2e-04 0 0 0 2e-04 4e-04 0 2e-04 4e-04 0 2e-04 4e-04 0.00101 2e-04 0 4e-04 2e-04 0 4e-04 0 0 0 2e-04 4e-04 0 0 4e-04 0 2e-04 0.00141 0 0.00101 8e-04 4e-04 8e-04 2e-04 4e-04 4e-04 4e-04 0 2e-04 0 6e-04 6e-04 0 6e-04 6e-04 2e-04 2e-04 0 2e-04 0 0 0 4e-04 2e-04 0 2e-04 4e-04 0.00121 2e-04 6e-04 2e-04 2e-04 0 0 0 2e-04 0 0.00121 0 2e-04 0 4e-04 0 8e-04 0 6e-04 2e-04
MICROBIOTE_BILEACID_genes 200 18 CPED1 25655730 25937923 282194 0 0.00071 0.00035 0.00035 0 0 0.00035 0.00035 0 0.00071 0 0 0 0.00035 0.00035 0.00035 0 0 0 0 0 0 0 0 0 0 0 0 0.00071 0.00071 0.00106 0.00212 0 0 0 0 0 0 0 0.00106 0 0 0 0.00035 0.00035 0 0 0 0 0.00071 0 0 0 0 0.00035 0 0 0 0.00035 0.00071 0 0.00106 0.00035 0 0 0 0 0.00035 0 0 0 0.00035 0.00106 0.00035 0.00141 0.00176 0 0.00035 0.00035 0 0.00035 0.00071 0 0.00071 0 0.00035 0 0 0 0 0.00035 0.00035 0 0 0 0 0 0 0 0.00035
MICROBIOTE_BILEACID_genes 200 18 KCND2 26139457 26624210 484754 0 0.00021 0.00021 0 0 0 0.00062 0.00041 0 0.00021 0 0 0 0 0.00041 0.00062 0 0 0 0.00021 0 0.00021 0 0.00021 0 0 0.00021 0 0 0 0.00041 0 0 0.00062 0 0 0.00041 0.00062 0 0.00021 0 0.00021 0 0 0 0 0 0.00021 0 0 0 0 0.00021 0 0.00021 0.00041 0.00041 0.00021 0 0.00041 0.00021 0.00021 0 0 0 0.00082 0 0.00123 0.00021 0 0 0 0 0.00021 0 0.00082 0.00021 0.00062 0.00041 0 0 0 0 0.00103 0 0.00021 0 0.00021 0.00021 0 0 0.00041 0 0 0 0.00021 0.00021 0 0.00103 0
MICROBIOTE_BILEACID_genes 200 18 CFTR 28627717 28818209 190493 0 0.00052 0.00052 0 0 0 0.00157 0 0 0 0 0.00052 0 0 0.00052 0 0 0.00052 0 0 0.00104 0.00209 0 0 0.00052 0.00052 0 0 0.00052 0.00104 0 0 0.00052 0 0.00052 0 0 0.00157 0 0.00052 0 0.00418 0 0 0 0 0 0.00104 0 0 0.00104 0 0.00052 0 0.00104 0 0 0 0 0.00052 0 0 0.00104 0.00052 0 0 0 0 0 0 0 0 0 0 0 0.00052 0.00104 0.00052 0 0 0 0.00052 0 0.00052 0 0.00104 0 0.00104 0 0 0.00052 0 0 0 0 0.00261 0 0.00052 0 0
