NAME nsam scaffold Gene Start End Length ThetaRTaj_1 ThetaRTaj_2 ThetaRTaj_3 ThetaRTaj_4 ThetaRTaj_5 ThetaRTaj_6 ThetaRTaj_7 ThetaRTaj_8 ThetaRTaj_9 ThetaRTaj_10 ThetaRTaj_11 ThetaRTaj_12 ThetaRTaj_13 ThetaRTaj_14 ThetaRTaj_15 ThetaRTaj_16 ThetaRTaj_17 ThetaRTaj_18 ThetaRTaj_19 ThetaRTaj_20 ThetaRTaj_21 ThetaRTaj_22 ThetaRTaj_23 ThetaRTaj_24 ThetaRTaj_25 ThetaRTaj_26 ThetaRTaj_27 ThetaRTaj_28 ThetaRTaj_29 ThetaRTaj_30 ThetaRTaj_31 ThetaRTaj_32 ThetaRTaj_33 ThetaRTaj_34 ThetaRTaj_35 ThetaRTaj_36 ThetaRTaj_37 ThetaRTaj_38 ThetaRTaj_39 ThetaRTaj_40 ThetaRTaj_41 ThetaRTaj_42 ThetaRTaj_43 ThetaRTaj_44 ThetaRTaj_45 ThetaRTaj_46 ThetaRTaj_47 ThetaRTaj_48 ThetaRTaj_49 ThetaRTaj_50 ThetaRTaj_51 ThetaRTaj_52 ThetaRTaj_53 ThetaRTaj_54 ThetaRTaj_55 ThetaRTaj_56 ThetaRTaj_57 ThetaRTaj_58 ThetaRTaj_59 ThetaRTaj_60 ThetaRTaj_61 ThetaRTaj_62 ThetaRTaj_63 ThetaRTaj_64 ThetaRTaj_65 ThetaRTaj_66 ThetaRTaj_67 ThetaRTaj_68 ThetaRTaj_69 ThetaRTaj_70 ThetaRTaj_71 ThetaRTaj_72 ThetaRTaj_73 ThetaRTaj_74 ThetaRTaj_75 ThetaRTaj_76 ThetaRTaj_77 ThetaRTaj_78 ThetaRTaj_79 ThetaRTaj_80 ThetaRTaj_81 ThetaRTaj_82 ThetaRTaj_83 ThetaRTaj_84 ThetaRTaj_85 ThetaRTaj_86 ThetaRTaj_87 ThetaRTaj_88 ThetaRTaj_89 ThetaRTaj_90 ThetaRTaj_91 ThetaRTaj_92 ThetaRTaj_93 ThetaRTaj_94 ThetaRTaj_95 ThetaRTaj_96 ThetaRTaj_97 ThetaRTaj_98 ThetaRTaj_99 ThetaRTaj_100
MICROBIOTE_BILEACID_genes 200 18 GBX1 6058888 6080908 22021 0.00704 0.00688 0.00137 0.00693 0.00051 0.00717 0.00719 0.00707 0.00711 0.00113 0.00723 0.00686 0.00069 7e-04 0.00658 0.00707 0.00069 0.00065 0.01058 0.00653 0.00658 0.00716 0.00065 0.00065 0.00051 0.00051 0.00686 0.00116 0.00116 0.00051 0.00692 0.00713 0.00121 0.00723 0.00649 0.007 0.00662 0.00708 0.00653 0.007 0.00653 0.00051 0.00708 0.00118 0.00069 0.0012 0.00069 0.00118 0.00687 0.00705 0.00116 0.007 0.00051 0.00715 6e-04 0.00116 0.00055 0.00134 0.00693 0.00685 0.007 0.00689 0.00116 0.00116 0.00116 0.00116 0.00065 0.00116 0.00065 0.00099 0.00715 0.00702 0.00653 0.00696 0.00708 0.00702 0.00713 0.00113 0.00113 0.00703 0.00107 0.00116 0.00116 0.00676 6e-04 0.00711 0.00121 0.00065 0.00689 0.0012 0.00689 0.00663 0.00116 0.00653 0.00065 0.00109 0.00116 0.00116 0.00121 0.00116
MICROBIOTE_BILEACID_genes 200 18 GIMAP2 6395809 6401076 5268 0.00702 0.00647 0 0.00685 0 0.00647 0.00702 0 0.00685 0 0.00668 0.00652 0.00663 0 0.00702 0.00592 0 0 0.00629 0.00702 0.00702 0.00685 0 0 0 0 0.00636 0 0.00702 0 0.00632 0.00647 0 0.00663 0.00685 0.01016 0.00702 0.00638 0.00686 0.00668 0.00702 0 0.00669 0.00702 0.00648 0.00702 0 0 0.00607 0.00702 0 0.0067 0 0.00647 0 0 0 0.00702 0.00702 0.00639 0.00653 0 0 0.00702 0.00651 0 0.0061 0 0.00663 0 0 0.00647 0.00702 0.00663 0.00647 0.00647 0.00647 0 0 0.00631 0.00541 0.00702 0 0.00563 0 0.00019 0 0 0.00653 0 0.00647 0.00631 0.00668 0.00663 0.00663 0.00702 0 0.00702 0 0
MICROBIOTE_BILEACID_genes 200 18 PRSS58 7715969 7725465 9497 0.00707 0 0.00707 0 0 0 0.00707 0 0.00707 0 0.00707 0.00717 0.00727 0.00717 0.0068 0.0068 0.00717 0.00717 0 0.00707 0.00707 0.00717 0.00717 0.00717 0 0 0 0.00737 0 0 0.00717 0.00717 0.00698 0.00727 0 0.00727 0 0.00698 0.00707 0 0.00707 0 0.00717 0 0.00737 0 0.00707 0 0.00727 0.00707 0 0 0.00718 0.00089 0 0 0 0 0.00707 0.00654 0 0 0 0.00717 0.00717 0.00717 0.00737 0.00717 0.00727 0 0.00717 0 0.00707 0.00727 9e-05 0 9e-05 9e-05 0.0069 0 0 0.00717 0 0 0 0 0 0 0 0 0 0 0 0.00727 0.00727 0.00027 0.00717 0 0 0
MICROBIOTE_BILEACID_genes 200 18 MGAM2 7767831 7863717 95887 0.00767 0.00019 0.00757 0.00023 1e-04 8e-05 0.00753 0.00012 0.00761 9e-05 0.00774 0.00681 0.00937 0.00683 0.0076 0.00765 0.00835 0.00676 8e-05 0.00767 0.00766 0.00692 0.00699 0.00678 1e-04 9e-05 3e-05 0.01193 3e-05 0.00021 0.00676 0.00693 0.0077 0.00928 0.00017 0.00934 7e-05 0.00768 0.00772 0.00017 0.00776 0.00013 0.00684 3e-05 0.01156 9e-05 0.00777 0.00011 0.0094 0.0077 0.00015 0.00016 0.0093 0.00065 1e-04 0.00026 6e-05 1e-04 0.00767 0.00762 0.00011 7e-05 1e-04 0.00679 0.00662 0.0068 0.01181 0.00676 0.00917 2e-04 0.00685 7e-05 0.00767 0.00937 9e-05 8e-05 6e-05 0.00014 0.00678 1e-04 0.00015 0.00684 8e-05 0.00018 6e-05 0.00018 1e-04 9e-05 8e-05 0.00012 0.00014 0.00013 0.00013 0.00938 0.00936 0.00017 0.0068 9e-05 5e-05 4e-05
MICROBIOTE_BILEACID_genes 200 18 SSBP1 8084292 8167983 83692 0.00635 0.00613 0.00039 0.00037 0.00032 0.00618 0.00627 0.00612 0.00066 0.00031 0.00073 0.00072 0.00047 0.00627 0.00065 0.00066 0.00048 0.0064 0.00613 0.00072 0.00065 0.00068 0.00645 0.00641 0.00035 0.00034 0.00037 0.00069 0.00603 0.00035 0.00637 0.00634 0.00069 0.00638 0.00644 0.00047 0.00617 0.00065 0.00645 0.00031 0.00062 0.00034 0.00645 0.00636 0.00069 0.00615 0.00651 0.00605 0.00644 0.00067 0.00632 0.00624 0.00048 0.00622 0.00033 0.00619 0.00033 0.00615 0.00066 0.00062 0.00625 0.00619 0.00613 0.00654 0.00622 0.00071 0.00069 0.00631 0.00632 0.00615 0.00648 0.00637 0.00654 0.00635 0.00632 0.00038 0.00611 0.00629 0.00066 0.00626 0.00614 0.0064 0.00634 0.006 0.00649 0.00625 0.00613 0.00617 0.00033 0.00648 0.00612 0.00592 0.00613 0.00646 0.00642 0.00614 7e-04 0.00612 0.00601 0.00635
MICROBIOTE_BILEACID_genes 200 18 WEE2 8171133 8196836 25704 0.00558 0.00572 0.00024 0.00017 0.00017 0.00572 0.00555 0.00557 0.00024 0.00017 0.00024 0.00028 0.00017 0.00562 0.00024 0.00024 0.00024 0.00571 0.00576 0.00024 0.00024 0.00028 0.00587 0.00569 0.00017 2e-04 0.00017 0.00028 0.00581 0.00017 0.00559 0.00568 0.00024 0.00578 0.00581 0.00017 0.00576 0.00024 0.00576 0.00017 0.00024 0.00017 0.00577 0.00559 0.00019 0.00576 0.00579 0.00551 0.00568 0.00024 0.00577 0.00553 0.00017 0.0056 0.00017 0.00556 0.00017 0.00576 0.00028 0.00024 0.00569 0.00544 0.00576 0.00584 0.00562 0.00028 0.00028 0.00565 0.00574 0.00572 0.00587 0.00565 0.00586 0.00586 0.00568 0.00017 0.00572 0.00565 0.00028 0.0058 0.00576 0.00536 0.0059 0.00539 0.00593 0.00574 0.00576 0.00576 0.00017 0.00584 0.00576 0.00569 0.00579 0.00597 0.00581 0.00572 0.00028 0.00576 0.0055 0.00568
MICROBIOTE_BILEACID_genes 200 18 AGK 8263761 8369060 105300 0.00292 0.00689 0.00164 0.00082 0.00075 0.00712 0.00289 0.00583 0.00181 0.00087 0.00173 0.00222 0.00347 0.00701 0.00169 0.00183 0.00294 0.00697 0.00716 0.00178 0.00183 0.00212 0.00729 0.00698 0.00074 0.00077 0.00081 0.00287 0.00607 0.00082 0.00153 0.00152 0.00176 0.00704 0.0063 0.00337 0.00576 0.00169 0.0067 0.00072 0.00176 0.00082 0.00721 0.00219 0.00279 0.00704 0.00676 0.006 0.00709 0.00177 0.00616 0.00617 0.00346 0.00715 0.00081 0.00619 0.00075 0.00707 0.00172 0.00171 0.00614 0.00614 0.00579 0.00711 0.00692 0.00219 0.00285 0.00699 0.00699 0.00575 0.00715 0.00215 0.00664 0.00704 0.00227 8e-04 0.0071 0.00623 0.00213 0.00225 0.00574 0.0071 0.00631 0.00221 0.0064 0.00623 0.00576 0.00575 0.00078 0.00711 0.00699 0.00212 0.00574 0.00709 0.00293 0.00575 0.00226 0.00574 0.00617 0.00626
MICROBIOTE_BILEACID_genes 200 18 TTC26 10462670 10509595 46926 0 0.00041 0 0.00031 0 4e-04 0 0.00042 0 0.00018 0 0.00033 0.00041 0.00041 0 2e-04 2e-05 0.00049 8e-05 2e-05 0 0.00035 0.00045 0.00042 0.00042 0.00035 0.00031 0.00035 0.00042 0.00031 0.00012 8e-05 0 0.00051 0 0.00035 0.00033 0 0 0 0 0 2e-05 0.00029 0.00033 0.00033 0.00051 0 0.00053 0 0.00045 3e-04 0.00033 0.00045 4e-05 0.00041 0 0.00037 0 2e-05 0 0 0.00047 0.00011 0.00011 2e-05 0.00035 2e-05 0.00045 0.00047 0 0.00041 0 2e-04 0.00041 0.00033 0.00037 0 0 4e-04 0.00055 0.00011 0.00035 0.00042 0 0 0 0.00051 0.00033 0.00049 0.00035 0.00049 0.00039 2e-04 0.00042 9e-05 0 0.00047 0.00011 2e-05
MICROBIOTE_BILEACID_genes 200 18 KIAA1549 10676845 10829487 152643 0.00016 0.00738 0.00341 0.01007 0.00012 0.00774 0.00011 0.00764 0.00338 0.00388 0.0034 0.0073 0.0105 0.00752 0.00335 0.00377 0.00014 0.00749 0.00011 0.00343 0.00333 0.00743 0.00778 0.00744 0.00784 0.0078 0.00936 0.00745 0.00779 0.00724 0.00012 0.00011 0.00012 0.01058 0.00341 0.01002 0.00256 0.00338 0.00015 0.00335 0.00343 0.00015 0.00014 0.00403 0.00716 0.00609 0.01059 0.00332 0.01057 0.0034 0.00739 0.00258 0.00765 0.00762 0.00013 0.00751 1e-04 0.00608 0.00339 0.00332 0.00337 0.00019 0.00768 0.00266 0.0026 0.00336 0.00767 0.00014 0.00788 0.0074 0.00011 0.0103 0.00014 0.00392 0.01007 0.0074 0.00745 9e-05 0.00339 0.00785 0.00832 0.00255 0.00767 0.00998 0.00016 0.00018 0.00012 0.00797 0.00971 0.00794 0.00755 0.00776 0.00854 0.00395 0.00797 0.00236 8e-05 0.00871 0.00251 1e-04
MICROBIOTE_BILEACID_genes 200 18 CREB3L2 11533184 11666132 132949 0.00096 0.00439 0.00257 0.00259 0.00247 0.00443 0.00093 0.00217 0.00261 0.0026 0.00256 0.00163 0.00094 0.00062 0.00246 0.00081 0.00092 0.00067 0.00563 0.00242 0.00241 0.00166 0.00063 0.00061 0.00139 0.00186 0.00224 0.00069 0.00133 0.00184 0.00427 0.00438 0.00098 0.00092 0.00228 0.00215 0.00221 0.00236 0.00252 0.00238 0.00248 0.00047 0.00257 0.00436 0.00069 0.00429 0.00096 0.00234 0.00097 0.00242 0.00065 0.00057 0.00062 0.00062 5e-04 0.00062 0.00048 0.00432 0.00243 0.0024 0.00228 0.00251 0.00215 0.00443 0.00423 0.00241 0.00064 0.00257 2e-04 0.00229 0.00256 0.00094 0.00256 0.00254 0.0021 0.00162 0.00216 0.00256 0.00238 0.00138 0.00419 0.00443 0.00062 0.0021 0.0057 0.00256 0.0057 0.00022 0.00233 0.00025 0.00216 0.00138 0.00426 0.00254 0.00026 0.00562 0.00047 0.00438 0.00556 0.00254
MICROBIOTE_BILEACID_genes 200 18 DGKI 11705055 12187098 482044 0.00366 0.00619 0.00247 0.0054 0.00234 0.0063 0.00365 0.0011 0.0054 0.00233 0.00544 0.00602 0.00413 0.00107 0.00635 0.00349 0.00265 0.00108 0.00498 0.00641 0.00642 0.00606 0.00112 0.00107 0.00566 0.00607 0.0075 0.00408 0.0056 0.00598 0.00646 0.00654 0.00262 0.00413 0.00201 0.00461 0.00117 0.00486 0.00441 0.00475 0.00491 0.00352 0.00185 0.00653 0.00394 0.00601 0.00418 0.00228 0.00283 0.00494 0.00114 0.00106 0.0041 0.00135 0.00083 0.00113 0.00082 0.006 0.00493 0.00484 0.00493 0.004 0.00115 0.00663 0.00651 0.00232 0.00407 0.00175 0.00339 0.00478 0.00183 0.00259 0.00442 0.00477 0.00168 0.00604 0.00271 0.00179 0.00228 0.00636 0.00603 0.0066 0.00117 0.00167 0.0067 0.00178 0.00672 0.00038 0.00774 0.00353 0.00273 0.00619 0.00615 0.00483 0.00349 0.00645 0.00088 0.00617 0.00643 0.00178
MICROBIOTE_BILEACID_genes 200 18 CHRM2 12455139 12600314 145176 0.00275 0.00294 0.00263 0.00259 0.00141 0.00296 0.00274 4e-04 0.00259 0.00068 0.00258 0.00268 0.00049 0.00041 0.00315 0.00268 0.00293 0.00041 0.00039 0.00314 0.00318 0.00265 0.00041 0.00041 0.00319 0.00235 0.0031 0.00068 0.00262 0.00235 0.00294 0.00291 0.00314 0.00294 0.00068 5e-04 0.00068 0.00266 0.0027 0.00261 0.00274 0.0032 0.00045 0.00349 0.00068 0.0026 0.00296 0.00069 0.00291 0.00277 0.00139 0.00156 0.00162 0.00147 0.00121 0.00141 0.0012 0.0026 0.00273 0.00265 0.00287 0.0029 0.00045 0.00297 0.00295 0.00071 0.00067 4e-04 0.00294 0.00281 0.00045 0.00295 0.0027 0.00299 0.00169 0.00317 0.0029 0.00143 0.00069 0.00317 0.00276 0.00297 0.00146 0.00165 0.00302 0.00141 0.00299 0.00038 0.00316 0.00067 0.00291 0.00313 0.00344 0.00296 0.00167 0.00291 0.00149 0.00351 0.00289 0.00147
MICROBIOTE_BILEACID_genes 200 18 LRGUK 14957257 15074978 117722 0.00352 0.00038 0.00038 0.00039 0.00039 4e-04 0.00354 0.00196 0.00042 0.00245 0.00042 0.00369 0.00202 0.00201 0.00244 0.00216 0.00206 0.00203 0.00204 0.00256 0.00247 0.00378 0.00205 0.00198 0.00385 0.0026 0.00252 0.00197 0.00245 0.00255 0.00199 0.00202 0.00041 0.0025 0.00202 0.00196 0.00376 0.00362 0.00381 0.00357 0.00371 0.00396 0.00174 0.0025 0.00196 0.00218 0.00253 0.00176 0.00041 0.00373 0.00038 0.00385 0.00039 0.00044 0.0032 0.00038 0.00326 0.00218 0.00374 0.00371 0.00206 0.00359 0.00209 0.0038 0.00372 0.00178 0.002 0.00042 0.00038 0.00197 0.002 0.00218 0.00251 0.00374 0.00401 0.00241 0.00253 0.00038 0.0017 0.00215 0.00234 0.0038 0.00205 0.00381 0.00204 0.00038 0.00203 0.00039 0.00255 0.00038 0.00247 0.00219 0.00372 0.0025 0.0033 0.00366 0.0021 0.00398 0.00363 0.00402
